caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,target_binary,target_multi
2015-066,2015-066-01,2015-066-01-01,2015-066-01-01-01,6/13/2016,1,579 U.S. 140,136 S. Ct. 1954,195 L. Ed. 2d 317,2016 U.S. LEXIS 3775,2015,1705,Roberts,15-420,UNITED STATES v. BRYANT,4/19/2016,,27.0,,170.0,,1.0,,,0.0,88.0,,29.0,,1.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,10120.0,1.0,1.0,0.0,2.0,4.0,2.0,214.0,,109.0,111.0,1,8,0,1.0,2
2015-067,2015-067-01,2015-067-01-01,2015-067-01-01-01,6/16/2016,1,579 U.S. 176,136 S. Ct. 1989,195 L. Ed. 2d 348,2016 U.S. LEXIS 3920,2015,1705,Roberts,15-7,"UNIVERSAL HEALTH SERVICES, INC. v. ESCOBAR, JULIO, ET AL",4/19/2016,,165.0,,27.0,,1.0,,,0.0,80.0,,21.0,,0.0,2.0,5.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,80140.0,8.0,1.0,,4.0,7.0,3.0,325.0,,108.0,111.0,1,8,0,,2
2015-068,2015-068-01,2015-068-01-01,2015-068-01-01-01,6/23/2016,1,579 U.S. 438,136 S. Ct. 2160,195 L. Ed. 2d 560,2016 U.S. LEXIS 4058,2015,1705,Roberts,14-1468,BIRCHFIELD v. NORTH DAKOTA,4/20/2016,,126.0,,28.0,39.0,1.0,,,0.0,302.0,39.0,300.0,39.0,0.0,11.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,10050.0,1.0,2.0,0.0,2.0,7.0,2.0,205.0,,112.0,111.0,1,7,1,1.0,2
2015-069,2015-069-01,2015-069-01-01,2015-069-01-01-01,6/20/2016,1,579 U.S. 211,136 S. Ct. 2117,195 L. Ed. 2d 282,2016 U.S. LEXIS 3924,2015,1705,Roberts,15-415,"ENCINO MOTORCARS, LLC v. NAVARRO",4/20/2016,,125.0,,145.0,,1.0,,,0.0,48.0,,29.0,,0.0,2.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,70040.0,7.0,1.0,1.0,4.0,,3.0,334.0,,106.0,111.0,1,6,2,,2
2015-070,2015-070-01,2015-070-01-01,2015-070-01-01-01,6/16/2016,1,579 U.S. 197,136 S. Ct. 1979,195 L. Ed. 2d 368,2016 U.S. LEXIS 3922,2015,1705,Roberts,15-375,"KIRTSAENG v. JOHN WILEY & SONS, INC.",4/25/2016,,117.0,,220.0,,1.0,,,0.0,96.0,,22.0,,0.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,60010.0,6.0,2.0,0.0,4.0,,6.0,600.0,"COPYRIGHT ACT, 17 U.S.C. 505",114.0,111.0,1,8,0,,2
2015-071,2015-071-01,2015-071-01-01,2015-071-01-01-01,6/20/2016,1,579 U.S. 261,136 S. Ct. 2131,195 L. Ed. 2d 423,2016 U.S. LEXIS 3927,2015,1705,Roberts,15-446,"CUOZZO SPEED TECHNOLOGIES, LLC v. LEE",4/25/2016,,172.0,,394.0,,1.0,94.0,,0.0,8.0,,8.0,,1.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80180.0,8.0,2.0,0.0,4.0,,6.0,600.0,America Invests Act 35usc314,110.0,111.0,1,6,2,0.0,0
2015-072,2015-072-01,2015-072-01-01,2015-072-01-01-01,6/23/2016,1,579 U.S. 500,136 S. Ct. 2243,195 L. Ed. 2d 604,2016 U.S. LEXIS 4060,2015,1705,Roberts,15-6092,MATHIS v. UNITED STATES,4/26/2016,,126.0,,27.0,,1.0,,,0.0,71.0,,28.0,,0.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10440.0,1.0,2.0,0.0,4.0,,6.0,600.0,Armed Career Criminal Act,114.0,111.0,1,5,3,1.0,1
2015-073,2015-073-01,2015-073-01-01,2015-073-01-01-01,3/21/2016,4,577 U.S. 423,136 S. Ct. 1034,194 L. Ed. 2d 207,2016 U.S. LEXIS 2131,2015,1705,Roberts,"No. 137, Orig.",STATE OF MONTANA v. STATE OF WYOMING AND STATE OF NORTH DAKOTA,,,28.0,31.0,28.0,59.0,9.0,,,0.0,,,,,0.0,1.0,,,1.0,5.0,0.0,1.0,0.0,0.0,110020.0,11.0,3.0,0.0,3.0,,9.0,900.0,,,111.0,1,8,0,,2
2015-074,2015-074-01,2015-074-01-01,2015-074-01-01-01,4/4/2016,2,578 U.S. 113,136 S. Ct. 1149,194 L. Ed. 2d 333,2016 U.S. LEXIS 2277,2015,1705,Roberts,15-723,"JEFFREY WOODS, WARDEN, PETITIONER v. TIMOTHY ETHERTON",,,28.0,27.0,126.0,,1.0,,,0.0,82.0,,26.0,,1.0,12.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,10120.0,1.0,1.0,0.0,4.0,,6.0,600.0,antiterrorism and effective death penalty,,111.0,1,8,0,1.0,1
2015-075,2015-075-01,2015-075-01-01,2015-075-01-01-01,6/27/2016,1,579 U.S. 550,136 S. Ct. 2355,195 L. Ed. 2d 639,2016 U.S. LEXIS 4062,2015,1705,Roberts,15-474,MCDONNELL v. UNITED STATES,4/27/2016,,19.0,25.0,27.0,,1.0,,,0.0,126.0,,24.0,,0.0,12.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,10450.0,1.0,2.0,0.0,4.0,,6.0,600.0,honest services wire fraud,111.0,111.0,1,8,0,,2
2015-076,2015-076-01,2015-076-01-01,2015-076-01-01-01,6/9/2016,1,579 U.S. 40,136 S. Ct. 1885,195 L. Ed. 2d 161,2016 U.S. LEXIS 3772,2015,1705,Roberts,15-458,DIETZ v. BOULDIN,4/26/2016,,208.0,,214.0,,1.0,,,0.0,88.0,,29.0,,0.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,90320.0,9.0,1.0,0.0,3.0,,9.0,900.0,,113.0,111.0,1,6,2,0.0,0
2015-077,2015-077-01,2015-077-01-01,2015-077-01-01-01,5/31/2016,2,578 U.S. 613,136 S. Ct. 1818,195 L. Ed. 2d 99,2016 U.S. LEXIS 3487,2015,1705,Roberts,15-8366,SHAWN PATRICK LYNCH v. ARIZONA,,,126.0,,28.0,4.0,1.0,,,0.0,302.0,4.0,300.0,4.0,0.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,10130.0,1.0,2.0,0.0,2.0,7.0,2.0,230.0,,,111.0,1,6,2,1.0,2
2015-078,2015-078-01,2015-078-01-01,2015-078-01-01-01,5/31/2016,2,578 U.S. 605,136 S. Ct. 1802,195 L. Ed. 2d 92,2016 U.S. LEXIS 3488,2015,1705,Roberts,15-789,"DEBORAH K. JOHNSON, WARDEN v. DONNA KAY LEE",,,19.0,6.0,137.0,,1.0,,,0.0,51.0,,29.0,,0.0,12.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,10020.0,1.0,1.0,0.0,7.0,3.0,9.0,900.0,,,111.0,1,8,0,1.0,1
2015-079,2015-079-01,2015-079-01-01,2015-079-01-01-01,5/16/2016,2,578 U.S. 412,136 S. Ct. 1603,194 L. Ed. 2d 701,2016 U.S. LEXIS 3051,2015,1705,Roberts,15-833,"SCOTT KERNAN, SECRETARY, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION v. ANTONIO A. HINOJOSA",,,19.0,6.0,215.0,,1.0,,,0.0,300.0,6.0,29.0,,0.0,12.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10020.0,1.0,1.0,0.0,4.0,,6.0,600.0,antiterrorism and effective death penalty,,111.0,1,6,2,1.0,1
2015-082,2015-082-01,2015-082-01-01,2015-082-01-01-01,10/5/2015,2,577 U.S. 1,136 S. Ct. 2,193 L. Ed. 2d 1,2015 U.S. LEXIS 4693,2015,1704,Roberts,14-848,"MARYLAND, PETITIONER v. JAMES KULBICKI",,,28.0,25.0,137.0,,1.0,,,0.0,302.0,25.0,301.0,25.0,0.0,12.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,10120.0,1.0,1.0,0.0,2.0,7.0,2.0,214.0,,,111.0,1,9,0,1.0,1
2015-083,2015-083-01,2015-083-01-01,2015-083-01-01-01,11/9/2015,2,577 U.S. 7,136 S. Ct. 305,193 L. Ed. 2d 255,2015 U.S. LEXIS 7160,2015,1704,Roberts,14-1143,"CHADRIN LEE MULLENIX, PETITIONER v. BEATRICE LUNA, INDIVIDUALLY AND AS REPRESENTATIVE OF THE ESTATE OF ISRAEL LEIJA, JR., et al.",,,8.0,51.0,100.0,,1.0,,,0.0,25.0,,25.0,,1.0,12.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10060.0,1.0,1.0,0.0,2.0,,2.0,205.0,,,111.0,1,8,1,1.0,1
2015-084,2015-084-01,2015-084-01-01,2015-084-01-01-01,12/14/2015,2,577 U.S. 73,136 S. Ct. 456,193 L. Ed. 2d 384,2015 U.S. LEXIS 7998,2015,1704,Roberts,14-1372,"RANDY WHITE, WARDEN, PETITIONER v. ROGER L. WHEELER",,,8.0,21.0,126.0,,1.0,,,1.0,302.0,21.0,26.0,,1.0,12.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10130.0,1.0,1.0,0.0,2.0,,2.0,221.0,,,111.0,1,9,0,1.0,1
2016-001,2016-001-01,2016-001-01-01,2016-001-01-01-01,12/6/2016,1,,137 S. Ct. 429,196 L. Ed. 2d 363,2016 U.S. LEXIS 7419,2016,1705,Roberts,15-777,SAMSUNG ELECTRONICS v. APPLE,10/11/2016,,133.0,,133.0,,1.0,,,0.0,50.0,,8.0,,0.0,12.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,80180.0,8.0,2.0,,4.0,,6.0,600.0,Patent Act,113.0,111.0,1,8,0,1.0,2
2016-002,2016-002-01,2016-002-01-01,2016-002-01-01-01,3/6/2017,1,,137 S. Ct. 855,197 L. Ed. 2d 107,2017 U.S. LEXIS 1574,2016,1705,Roberts,15-606,PENA-RODRIGUEZ v. COLORADO,10/11/2016,,126.0,,28.0,7.0,1.0,,,0.0,301.0,7.0,300.0,7.0,1.0,11.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,10200.0,1.0,2.0,0.0,2.0,,2.0,215.0,,106.0,106.0,1,5,3,1.0,2
2016-003,2016-003-01,2016-003-01-01,2016-003-01-01-01,4/19/2017,1,,137 S. Ct. 1266,197 L. Ed. 2d 599,2017 U.S. LEXIS 2616,2016,1706,Roberts,15-7250,MANRIQUE v. UNITED STATES,10/11/2016,,126.0,,27.0,,1.0,,,0.0,58.0,,31.0,,0.0,12.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,90330.0,9.0,1.0,0.0,3.0,,4.0,400.0,,108.0,111.0,1,6,2,0.0,0
2016-004,2016-004-01,2016-004-01-01,2016-004-01-01-01,12/6/2016,1,,137 S. Ct. 420,196 L. Ed. 2d 351,2016 U.S. LEXIS 7418,2016,1705,Roberts,15-628,SALMAN v. UNITED STATES,10/5/2016,,100.0,,27.0,,1.0,105.0,,0.0,50.0,,29.0,,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10450.0,1.0,1.0,0.0,7.0,4.0,3.0,365.0,,112.0,111.0,1,8,0,0.0,0
2016-005,2016-005-01,2016-005-01-01,2016-005-01-01-01,3/21/2017,1,,137 S. Ct. 911,197 L. Ed. 2d 312,2017 U.S. LEXIS 2021,2016,1705,Roberts,14-9496,MANUEL v. CITY OF JOLIET,10/5/2016,,110.0,,3.0,17.0,1.0,,,0.0,66.0,,27.0,,0.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,10050.0,1.0,2.0,0.0,2.0,,2.0,205.0,,114.0,111.0,1,6,2,1.0,2
2016-006,2016-006-01,2016-006-01-01,2016-006-01-01-01,2/22/2017,1,,137 S. Ct. 743,197 L. Ed. 2d 46,2017 U.S. LEXIS 1427,2016,1705,Roberts,15-497,FRY v. NAPOLEON COMMUNITY SCHOOLS,10/31/2016,,239.0,,21.0,27.0,1.0,19.0,,0.0,81.0,,26.0,,1.0,7.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,20210.0,2.0,2.0,0.0,4.0,,6.0,600.0,Individuals with Disabilities Education Act,114.0,111.0,1,8,0,,2
2016-007,2016-007-01,2016-007-01-01,2016-007-01-01-01,3/22/2017,1,,137 S. Ct. 1002,197 L. Ed. 2d 354,2017 U.S. LEXIS 2026,2016,1705,Roberts,15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC.",10/31/2016,,184.0,,184.0,,1.0,,,0.0,118.0,,26.0,,1.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,80190.0,8.0,1.0,0.0,4.0,,6.0,600.0,Copyright Act,108.0,111.0,1,6,2,0.0,0
2016-008,2016-008-01,2016-008-01-01,2016-008-01-01-01,3/22/2017,1,,137 S. Ct. 973,197 L. Ed. 2d 398,2017 U.S. LEXIS 2024,2016,1705,Roberts,15-649,CZYZEWSKI v. JEVIC HOLDING CORP.,12/7/2016,,135.0,,114.0,,1.0,,,0.0,54.0,,23.0,,1.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,80030.0,8.0,1.0,0.0,4.0,,3.0,307.0,,110.0,111.0,1,6,2,1.0,2
2016-009,2016-009-01,2016-009-01-01,2016-009-01-01-01,3/21/2017,1,,137 S. Ct. 954,197 L. Ed. 2d 292,2017 U.S. LEXIS 2023,2016,1705,Roberts,15-927,"SCA HYGIENE PRODS. AKTIEBOLAG v. FIRST QUALITY BABY PRODS., LLC",11/1/2016,,172.0,,172.0,,1.0,,,0.0,74.0,,8.0,,1.0,12.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,80180.0,8.0,2.0,0.0,4.0,,6.0,600.0,35 USC 286,112.0,111.0,1,7,1,,2
2016-010,2016-010-01,2016-010-01-01,2016-010-01-01-01,5/1/2017,1,,137 S. Ct. 1312,197 L. Ed. 2d 663,2017 U.S. LEXIS 2802,2016,1706,Roberts,15-423,BOLIVARIAN REPUBLIC OF VENEZUELA  v. HELMERICH & PAYNE INTERNATIONAL DRILLING CO.,11/2/2016,,24.0,,184.0,,1.0,,,0.0,55.0,,32.0,,0.0,11.0,6.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,90320.0,9.0,1.0,,4.0,,6.0,600.0,Foreign Sovereign Immunities Act of 1976,110.0,111.0,1,8,0,,2
2016-011,2016-011-01,2016-011-01-01,2016-011-01-01-01,3/21/2017,1,,137 S. Ct. 929,197 L. Ed. 2d 263,2017 U.S. LEXIS 2022,2016,1705,Roberts,15-1251,"NLRB v. SW GENERAL, INC.",11/7/2016,,382.0,,151.0,,1.0,82.0,,0.0,32.0,,32.0,,0.0,12.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,130015.0,13.0,1.0,0.0,4.0,,6.0,600.0,Federal Vacancies Reform Act,111.0,111.0,1,6,2,0.0,0
2016-013,2016-013-01,2016-013-01-01,2016-013-01-01-01,5/1/2017,1,,137 S. Ct. 1296,197 L. Ed. 2d 678,2017 U.S. LEXIS 2801,2016,1706,Roberts,15-1111,"BANK OF AMERICA CORP. v. CITY OF MIAMI, FLORIDA",11/8/2016,,113.0,,3.0,12.0,1.0,,,0.0,58.0,,31.0,,0.0,11.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,90280.0,9.0,2.0,0.0,4.0,,3.0,342.0,,110.0,111.0,1,5,3,,2
2016-014,2016-014-01,2016-014-01-01,2016-014-01-01-01,1/18/2017,1,,137 S. Ct. 533,196 L. Ed. 2d 493,2017 U.S. LEXIS 785,2016,1705,Roberts,14-1055,LIGHTFOOT v. CENDANT MORTGAGE CORP.,11/8/2016,,138.0,,113.0,,1.0,,,0.0,48.0,,29.0,,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,90320.0,9.0,2.0,0.0,4.0,,6.0,600.0,17 USC 1723  housing and urban development act of 1968,113.0,111.0,1,8,0,1.0,1
