caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,target_binary,target_multi
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,198.0,,172.0,,6.0,,,0.0,51.0,6.0,29.0,,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,4.0,,6.0,600.0,35 U.S.C. Â§ 33,78.0,78.0,1,8,1,1.0,1
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/1945,10/17/1946,100.0,,27.0,,1.0,,,0.0,123.0,52.0,30.0,,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10500.0,1.0,1.0,0.0,4.0,,6.0,600.0,18 U.S.C. Â§ 398,81.0,87.0,1,6,3,0.0,0
1946-003,1946-003-01,1946-003-01-01,1946-003-01-01-01,11/18/1946,1,329 U.S. 29,67 S. Ct. 1,91 L. Ed. 22,1946 U.S. LEXIS 3037,1946,1301,Vinson,21,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,11/8/1945,10/18/1946,209.0,,27.0,,2.0,66.0,,1.0,107.0,42.0,107.0,42.0,0.0,1.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80250.0,8.0,2.0,0.0,1.0,,2.0,207.0,,84.0,78.0,1,5,4,0.0,0
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27.0,,170.0,,1.0,67.0,,0.0,3.0,,3.0,,0.0,10.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,20150.0,2.0,2.0,0.0,4.0,,6.0,600.0,49 Stat. 801,87.0,87.0,1,5,3,0.0,0
1946-005,1946-005-01,1946-005-01-01,1946-005-01-01-01,11/25/1946,1,329 U.S. 64,67 S. Ct. 154,91 L. Ed. 44,1946 U.S. LEXIS 2997,1946,1301,Vinson,50,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",10/25/1946,,27.0,,176.0,,1.0,,,0.0,3.0,,3.0,,0.0,2.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,80060.0,8.0,2.0,0.0,7.0,,,,,78.0,87.0,1,6,3,1.0,1
1946-006,1946-006-01,1946-006-01-01,1946-006-01-01-01,11/25/1946,1,329 U.S. 69,67 S. Ct. 156,91 L. Ed. 80,1946 U.S. LEXIS 3005,1946,1301,Vinson,46,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,10/24/1946,,198.0,,4.0,6.0,2.0,117.0,6.0,0.0,302.0,6.0,300.0,6.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,80100.0,8.0,1.0,0.0,2.0,,1.0,129.0,,81.0,87.0,1,7,1,1.0,1
1946-007,1946-007-01,1946-007-01-01,1946-007-01-01-01,11/25/1946,1,329 U.S. 90,67 S. Ct. 133,91 L. Ed. 103,1946 U.S. LEXIS 3053,1946,1301,Vinson,4,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,11/16/1945,10/14/1946,148.0,,405.0,,1.0,105.0,,0.0,21.0,,21.0,,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80120.0,8.0,2.0,0.0,1.0,,6.0,600.0,15 U.S.C. Â§ 79,82.0,74.0,1,6,0,0.0,0
1946-008,1946-008-01,1946-008-01-01,1946-008-01-01-01,12/9/1946,1,329 U.S. 129,67 S. Ct. 231,91 L. Ed. 128,1946 U.S. LEXIS 2995,1946,1301,Vinson,11,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,4/25/1946,10/24/1946,189.0,,189.0,,1.0,24.0,,0.0,54.0,9.0,23.0,,0.0,12.0,5.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,90200.0,9.0,1.0,0.0,4.0,,6.0,600.0,35 U.S.C. Â§ 89,87.0,87.0,1,9,0,,2
1946-009,1946-009-01,1946-009-01-01,1946-009-01-01-01,12/9/1946,1,329 U.S. 143,67 S. Ct. 245,91 L. Ed. 136,1946 U.S. LEXIS 3047,1946,1301,Vinson,25,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,2/27/1946,11/13/1946,4.0,2.0,248.0,,1.0,117.0,2.0,0.0,44.0,2.0,29.0,,1.0,10.0,2.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,70190.0,7.0,1.0,0.0,4.0,5.0,5.0,512.0,,87.0,87.0,1,9,0,1.0,1
1946-010,1946-010-01,1946-010-01-01,1946-010-01-01-01,12/9/1946,1,329 U.S. 156,67 S. Ct. 237,91 L. Ed. 162,1946 U.S. LEXIS 3048,1946,1301,Vinson,42,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,10/22/1946,,135.0,,114.0,,1.0,,,0.0,73.0,21.0,26.0,,0.0,10.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80030.0,8.0,2.0,0.0,4.0,,3.0,307.0,,78.0,87.0,1,8,0,0.0,0
1946-011,1946-011-01,1946-011-01-01,1946-011-01-01-01,12/9/1946,1,329 U.S. 173,67 S. Ct. 216,91 L. Ed. 172,1946 U.S. LEXIS 1657,1946,1301,Vinson,36,CARTER v. ILLINOIS,11/15/1946,,126.0,,28.0,17.0,1.0,,,0.0,302.0,17.0,300.0,17.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10120.0,1.0,1.0,0.0,2.0,,2.0,214.0,,80.0,87.0,1,5,4,0.0,0
1946-012,1946-012-01,1946-012-01-01,1946-012-01-01-01,12/9/1946,1,329 U.S. 187,67 S. Ct. 261,91 L. Ed. 181,1946 U.S. LEXIS 1658,1946,1301,Vinson,37,BALLARD ET AL. v. UNITED STATES,10/15/1946,,100.0,,27.0,,1.0,,,0.0,51.0,6.0,29.0,,1.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,20130.0,2.0,2.0,0.0,3.0,,,,,81.0,78.0,1,6,3,1.0,1
1946-013,1946-013-01,1946-013-01-01,1946-013-01-01-01,12/9/1946,1,329 U.S. 207,67 S. Ct. 211,91 L. Ed. 193,1946 U.S. LEXIS 1659,1946,1301,Vinson,67,UNITED STATES v. BRUNO,11/22/1946,,27.0,,137.0,,1.0,89.0,,0.0,92.0,35.0,23.0,,0.0,4.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,10430.0,1.0,1.0,0.0,4.0,,6.0,600.0,50 U.S.C. Â§ 925,81.0,78.0,1,9,0,1.0,1
1946-014,1946-014-01,1946-014-01-01,1946-014-01-01-01,12/9/1946,1,329 U.S. 211,67 S. Ct. 224,91 L. Ed. 196,1946 U.S. LEXIS 1660,1946,1301,Vinson,51,FISWICK ET AL. v. UNITED STATES,11/19/1946,,106.0,,27.0,,1.0,,,0.0,92.0,35.0,23.0,,1.0,4.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10400.0,1.0,2.0,0.0,4.0,,6.0,600.0,18 U.S.C. Â§ 88,81.0,78.0,1,9,0,1.0,1
1946-015,1946-015-01,1946-015-01-01,1946-015-01-01-01,12/9/1946,1,329 U.S. 223,67 S. Ct. 213,91 L. Ed. 204,1946 U.S. LEXIS 3147,1946,1301,Vinson,65,"FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",11/22/1946,,338.0,,221.0,,1.0,38.0,,0.0,32.0,,32.0,,1.0,10.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,80320.0,8.0,2.0,0.0,4.0,5.0,3.0,326.0,,84.0,87.0,1,8,0,1.0,2
1946-016,1946-016-01,1946-016-01-01,1946-016-01-01-01,12/9/1946,1,329 U.S. 230,67 S. Ct. 252,91 L. Ed. 209,1946 U.S. LEXIS 2996,1946,1301,Vinson,40,UNITED STATES v. CARMACK,10/18/1946,,27.0,,166.0,,1.0,58.0,,0.0,86.0,30.0,28.0,,0.0,10.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,40070.0,4.0,2.0,0.0,4.0,,6.0,600.0,40 U.S.C. Â§ 341,86.0,87.0,1,9,0,1.0,2
1946-017,1946-017-01,1946-017-01-01,1946-017-01-01-01,12/16/1946,1,329 U.S. 249,67 S. Ct. 274,91 L. Ed. 265,1946 U.S. LEXIS 1616,1946,1301,Vinson,3,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",10/8/1944,10/14/1946,102.0,,19.0,18.0,2.0,,,0.0,302.0,18.0,300.0,18.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,80100.0,8.0,1.0,0.0,2.0,,1.0,111.0,,80.0,74.0,1,6,3,1.0,1
1946-018,1946-018-01,1946-018-01-01,1946-018-01-01-01,12/16/1946,1,329 U.S. 287,67 S. Ct. 207,91 L. Ed. 290,1946 U.S. LEXIS 1617,1946,1301,Vinson,54,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",11/20/1946,,27.0,,158.0,,1.0,4.0,,0.0,66.0,17.0,27.0,,1.0,10.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80170.0,8.0,2.0,0.0,5.0,4.0,6.0,600.0,7 U.S.C. Â§ 601,80.0,87.0,1,9,0,1.0,1
1946-019,1946-019-01,1946-019-01-01,1946-019-01-01-01,12/16/1946,1,329 U.S. 296,67 S. Ct. 271,91 L. Ed. 296,1946 U.S. LEXIS 3145,1946,1301,Vinson,48,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",11/15/1946,,369.0,,240.0,,1.0,69.0,,0.0,109.0,45.0,23.0,,0.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,120010.0,12.0,2.0,0.0,7.0,,,,,84.0,87.0,1,6,3,1.0,1
1946-020,1946-020-01,1946-020-01-01,1946-020-01-01-01,12/23/1946,1,329 U.S. 304,67 S. Ct. 313,91 L. Ed. 308,1946 U.S. LEXIS 1582,1946,1301,Vinson,59,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",11/21/1946,,306.0,,142.0,,1.0,24.0,,0.0,92.0,35.0,23.0,,0.0,2.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30130.0,3.0,1.0,0.0,5.0,4.0,3.0,366.0,,81.0,87.0,1,9,0,1.0,1
1946-021,1946-021-01,1946-021-01-01,1946-021-01-01-01,12/23/1946,1,329 U.S. 317,67 S. Ct. 320,91 L. Ed. 318,1946 U.S. LEXIS 1583,1946,1301,Vinson,58,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",11/21/1946,,306.0,,142.0,,1.0,24.0,,0.0,92.0,35.0,23.0,,0.0,2.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,30130.0,3.0,1.0,0.0,5.0,4.0,3.0,366.0,,81.0,87.0,1,9,0,1.0,1
1946-022,1946-022-01,1946-022-01-01,1946-022-01-01-01,12/23/1946,1,329 U.S. 324,67 S. Ct. 324,91 L. Ed. 322,1946 U.S. LEXIS 3044,1946,1301,Vinson,60,NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.,11/21/1946,,382.0,,151.0,,1.0,82.0,,0.0,21.0,,21.0,,0.0,3.0,8.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,70100.0,7.0,2.0,0.0,5.0,4.0,3.0,356.0,,82.0,87.0,1,8,1,1.0,1
1946-023,1946-023-01,1946-023-01-01,1946-023-01-01-01,12/23/1946,1,329 U.S. 338,67 S. Ct. 301,91 L. Ed. 331,1946 U.S. LEXIS 1584,1946,1301,Vinson,23,GIBSON v. UNITED STATES,1/2/1946,10/23/1946,142.0,,27.0,,1.0,24.0,,0.0,115.0,49.0,28.0,,0.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,30130.0,3.0,2.0,0.0,4.0,,3.0,366.0,,85.0,78.0,1,9,0,1.0,1
1946-024,1946-024-01,1946-024-01-01,1946-024-01-01-01,12/23/1946,1,329 U.S. 362,67 S. Ct. 340,91 L. Ed. 348,1946 U.S. LEXIS 3045,1946,1301,Vinson,35,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",3/28/1946,11/19/1946,28.0,17.0,369.0,,1.0,117.0,17.0,0.0,302.0,17.0,300.0,17.0,0.0,11.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,120030.0,12.0,2.0,0.0,4.0,,3.0,307.0,,85.0,87.0,1,7,2,0.0,0
1946-025,1946-025-01,1946-025-01-01,1946-025-01-01-01,12/23/1946,1,329 U.S. 379,67 S. Ct. 332,91 L. Ed. 359,1946 U.S. LEXIS 1585,1946,1301,Vinson,53,UNITED STATES v. SHERIDAN,11/12/1946,,27.0,,100.0,,1.0,,,0.0,81.0,27.0,26.0,,0.0,4.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,10430.0,1.0,1.0,0.0,4.0,,6.0,600.0,18 U.S.C. Â§ 413,85.0,78.0,1,7,2,1.0,2
1946-026,1946-026-01,1946-026-01-01,1946-026-01-01-01,1/6/1947,1,329 U.S. 394,67 S. Ct. 416,91 L. Ed. 374,1947 U.S. LEXIS 3019,1946,1301,Vinson,70,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,11/14/1946,,172.0,,177.0,,1.0,,,0.0,66.0,17.0,27.0,,0.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80180.0,8.0,2.0,0.0,7.0,,5.0,507.0,,78.0,87.0,1,5,4,0.0,0
1946-027,1946-027-01,1946-027-01-01,1946-027-01-01-01,1/6/1947,1,329 U.S. 402,67 S. Ct. 421,91 L. Ed. 380,1947 U.S. LEXIS 3020,1946,1301,Vinson,28,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,12/12/1946,,177.0,,172.0,,6.0,,,0.0,302.0,45.0,300.0,45.0,0.0,5.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,7.0,,5.0,507.0,,78.0,87.0,1,5,4,1.0,2
1946-028,1946-028-01,1946-028-01-01,1946-028-01-01-01,1/6/1947,1,329 U.S. 416,67 S. Ct. 444,91 L. Ed. 390,1947 U.S. LEXIS 2796,1946,1301,Vinson,75,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",12/12/1946,,25.0,41.0,19.0,41.0,2.0,117.0,41.0,0.0,300.0,41.0,300.0,41.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,80100.0,8.0,2.0,0.0,2.0,,2.0,230.0,,78.0,87.0,1,9,0,0.0,0
1946-029,1946-029-01,1946-029-01-01,1946-029-01-01-01,1/6/1947,1,329 U.S. 424,67 S. Ct. 435,91 L. Ed. 396,1947 U.S. LEXIS 2902,1946,1301,Vinson,61,"UNITED STATES ET AL. v. SEATRAIN LINES, INC.",12/9/1946,,27.0,,116.0,,2.0,66.0,,1.0,54.0,9.0,54.0,9.0,0.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,80230.0,8.0,1.0,0.0,4.0,5.0,3.0,343.0,,78.0,87.0,1,9,0,0.0,0
1946-030,1946-030-01,1946-030-01-01,1946-030-01-01-01,1/6/1947,1,329 U.S. 433,67 S. Ct. 439,91 L. Ed. 402,1947 U.S. LEXIS 2797,1946,1301,Vinson,79,"STEELE v. GENERAL MILLS, INC.",11/18/1946,,245.0,,234.0,,1.0,117.0,51.0,0.0,120.0,51.0,25.0,,1.0,10.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80110.0,8.0,2.0,0.0,6.0,,,,,78.0,87.0,1,9,0,1.0,1
1946-031,1946-031-01,1946-031-01-01,1946-031-01-01-01,1/6/1947,1,329 U.S. 441,67 S. Ct. 411,91 L. Ed. 408,1947 U.S. LEXIS 2883,1946,1301,Vinson,66,BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM ET AL. v. AGNEW ET AL.,12/10/1946,,354.0,,119.0,,1.0,54.0,,0.0,55.0,10.0,32.0,,1.0,12.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80120.0,8.0,2.0,0.0,4.0,5.0,6.0,600.0,12 U.S.C. Â§ 77,81.0,78.0,1,9,0,1.0,1
1946-032,1946-032-01,1946-032-01-01,1946-032-01-01-01,1/13/1947,1,329 U.S. 452,67 S. Ct. 401,91 L. Ed. 416,1947 U.S. LEXIS 2776,1946,1301,Vinson,88,"JESIONOWSKI, ADMINISTRATRIX, v. BOSTON & MAINE RAILROAD",12/16/1946,,145.0,,231.0,,1.0,,,0.0,80.0,26.0,21.0,,0.0,12.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80040.0,8.0,2.0,0.0,4.0,,4.0,400.0,,78.0,87.0,1,6,3,1.0,1
1946-033,1946-033-01,1946-033-01-01,1946-033-01-01-01,1/13/1947,7,329 U.S. 459,67 S. Ct. 374,91 L. Ed. 422,1947 U.S. LEXIS 2777,1946,1301,Vinson,142,"LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",11/18/1946,,126.0,,28.0,22.0,1.0,,,0.0,302.0,22.0,300.0,22.0,0.0,11.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10130.0,1.0,1.0,0.0,2.0,,2.0,231.0,,79.0,87.0,1,5,4,0.0,0
1946-034,1946-034-01,1946-034-01-01,1946-034-01-01-01,1/13/1947,1,329 U.S. 482,67 S. Ct. 428,91 L. Ed. 436,1947 U.S. LEXIS 2965,1946,1301,Vinson,87,"ANDERSON, RECEIVER, v. YUNGKAU, EXECUTOR, ET AL.",12/19/1946,,166.0,,237.0,,1.0,,,0.0,73.0,21.0,26.0,,1.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,90110.0,9.0,1.0,0.0,4.0,,4.0,400.0,,81.0,78.0,1,5,2,0.0,0
1946-035,1946-035-01,1946-035-01-01,1946-035-01-01-01,1/13/1947,1,329 U.S. 495,67 S. Ct. 385,91 L. Ed. 451,1947 U.S. LEXIS 2966,1946,1301,Vinson,47,"HICKMAN, ADMINISTRATOR, v. TAYLOR ET AL., TRADING AS TAYLOR & ANDERSON TOWING & LIGHTERAGE CO., ET AL.",11/13/1946,,145.0,,116.0,,1.0,,,0.0,109.0,45.0,23.0,,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,50040.0,5.0,1.0,0.0,4.0,,4.0,400.0,,82.0,87.0,1,9,0,0.0,0
1946-036,1946-036-01,1946-036-01-01,1946-036-01-01-01,1/13/1947,1,329 U.S. 520,67 S. Ct. 405,91 L. Ed. 471,1947 U.S. LEXIS 2967,1946,1301,Vinson,63,ORDER OF RAILWAY CONDUCTORS OF AMERICA ET AL. v. SWAN ET AL.,12/10/1946,,249.0,,384.0,,1.0,84.0,,0.0,66.0,17.0,27.0,,0.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,90320.0,9.0,2.0,0.0,4.0,5.0,3.0,363.0,,82.0,87.0,1,8,1,0.0,0
1946-037,1946-037-01,1946-037-01-01,1946-037-01-01-01,1/20/1947,1,329 U.S. 531,67 S. Ct. 463,91 L. Ed. 479,1947 U.S. LEXIS 2747,1946,1301,Vinson,80,"PARKER ET AL. v. FLEMING, TEMPORARY CONTROLS ADMINISTRATOR",12/18/1946,,241.0,,389.0,,1.0,89.0,,0.0,10.0,,10.0,,0.0,10.0,9.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,90120.0,9.0,2.0,0.0,5.0,4.0,6.0,600.0,58 Stat. 632,78.0,87.0,1,6,3,1.0,1
1946-038,1946-038-01,1946-038-01-01,1946-038-01-01-01,1/20/1947,1,329 U.S. 539,67 S. Ct. 448,91 L. Ed. 485,1947 U.S. LEXIS 2748,1946,1301,Vinson,229,"PATTERSON, SECRETARY OF WAR, ET AL. v. LAMB",1/7/1947,,324.0,,142.0,,1.0,24.0,,0.0,55.0,10.0,32.0,,0.0,10.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,90120.0,9.0,1.0,0.0,5.0,,,,,78.0,87.0,1,9,0,1.0,1
1946-039,1946-039-01,1946-039-01-01,1946-039-01-01-01,1/20/1947,1,329 U.S. 545,67 S. Ct. 451,91 L. Ed. 488,1947 U.S. LEXIS 2962,1946,1301,Vinson,62,"MORRIS v. JONES, DIRECTOR OF INSURANCE",12/9/1946,,171.0,,171.0,,1.0,,,0.0,302.0,17.0,300.0,17.0,0.0,10.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,110030.0,11.0,3.0,0.0,2.0,,1.0,143.0,,81.0,87.0,1,6,3,1.0,1
1946-040,1946-040-01,1946-040-01-01,1946-040-01-01-01,1/20/1947,1,329 U.S. 565,67 S. Ct. 467,91 L. Ed. 504,1947 U.S. LEXIS 2963,1946,1301,Vinson,92,"GARDNER, TRUSTEE, v. NEW JERSEY",12/20/1946,,114.0,,28.0,35.0,1.0,,,0.0,92.0,35.0,23.0,,0.0,10.0,3.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,80030.0,8.0,2.0,0.0,1.0,,1.0,112.0,,81.0,87.0,1,9,0,1.0,1
1946-041,1946-041-01,1946-041-01-01,1946-041-01-01-01,1/20/1947,1,329 U.S. 585,67 S. Ct. 398,91 L. Ed. 521,1947 U.S. LEXIS 2863,1946,1301,Vinson,106,UNITED STATES v. THAYER-WEST POINT HOTEL CO.,12/20/1946,,27.0,,241.0,,1.0,24.0,,0.0,3.0,,3.0,,0.0,12.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,80060.0,8.0,2.0,0.0,4.0,,6.0,600.0,28 U.S.C. Â§ 284,82.0,87.0,1,9,0,1.0,1
1946-042,1946-042-01,1946-042-01-01,1946-042-01-01-01,2/3/1947,1,329 U.S. 591,67 S. Ct. 540,91 L. Ed. 527,1947 U.S. LEXIS 2901,1946,1301,Vinson,97,"KRUG, SECRETARY OF THE INTERIOR, ET AL. v. SANTA FE PACIFIC RAILROAD CO.",1/6/1947,,326.0,,231.0,,1.0,,,0.0,55.0,10.0,32.0,,0.0,10.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80220.0,8.0,2.0,0.0,4.0,,6.0,600.0,49 U.S.C. Â§ 65,78.0,87.0,1,9,0,1.0,1
1946-043,1946-043-01,1946-043-01-01,1946-043-01-01-01,2/3/1947,1,329 U.S. 599,67 S. Ct. 606,91 L. Ed. 532,1947 U.S. LEXIS 2861,1946,1301,Vinson,148,ALBRECHT ET AL. v. UNITED STATES,1/8/1947,,195.0,,27.0,,1.0,,,0.0,86.0,30.0,28.0,,0.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,40070.0,4.0,2.0,0.0,1.0,,2.0,211.0,,78.0,87.0,1,7,2,0.0,0
1946-044,1946-044-01,1946-044-01-01,1946-044-01-01-01,2/3/1947,1,329 U.S. 607,67 S. Ct. 583,91 L. Ed. 547,1947 U.S. LEXIS 2894,1946,1301,Vinson,690,INSURANCE GROUP COMMITTEE ET AL. v. DENVER & RIO GRANDE WESTERN RAILROAD CO. ET AL.,1/6/1947,,135.0,,138.0,,1.0,,,0.0,52.0,7.0,28.0,,0.0,10.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,80220.0,8.0,2.0,0.0,4.0,,3.0,307.0,,79.0,87.0,1,8,1,0.0,0
1946-045,1946-045-01,1946-045-01-01,1946-045-01-01-01,2/3/1947,1,329 U.S. 637,67 S. Ct. 610,91 L. Ed. 563,1947 U.S. LEXIS 3022,1946,1301,Vinson,208,TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.,1/7/1947,,172.0,,177.0,,1.0,,,0.0,96.0,37.0,22.0,,1.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,80180.0,8.0,1.0,0.0,7.0,3.0,,,,81.0,87.0,1,5,4,1.0,2
1946-046,1946-046-01,1946-046-01-01,1946-046-01-01-01,2/3/1947,1,329 U.S. 649,67 S. Ct. 598,91 L. Ed. 572,1947 U.S. LEXIS 2694,1946,1301,Vinson,320,ELLIS v. UNION PACIFIC RAILROAD CO.,1/16/1947,,145.0,,231.0,,1.0,,,0.0,302.0,32.0,300.0,32.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,80040.0,8.0,2.0,0.0,4.0,,3.0,329.0,,81.0,87.0,1,9,0,1.0,1
1946-047,1946-047-01,1946-047-01-01,1946-047-01-01-01,2/3/1947,1,329 U.S. 654,67 S. Ct. 601,91 L. Ed. 577,1947 U.S. LEXIS 2862,1946,1301,Vinson,94,"UNITED STATES v. N. Y. RAYON IMPORTING CO., INC. (#2) ET AL.",1/8/1947,,27.0,,234.0,,1.0,60.0,,0.0,3.0,,3.0,,0.0,12.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,80060.0,8.0,2.0,0.0,4.0,,6.0,600.0,28 U.S.C. Â§ 177,82.0,87.0,1,9,0,1.0,1
1946-048,1946-048-01,1946-048-01-01,1946-048-01-01-01,2/3/1947,6,329 U.S. 663,67 S. Ct. 596,91 L. Ed. 584,1947 U.S. LEXIS 2695,1946,1301,Vinson,140,De MEERLEER v. MICHIGAN,1/6/1947,,100.0,,28.0,27.0,1.0,,,0.0,302.0,27.0,300.0,27.0,0.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,10120.0,1.0,2.0,0.0,2.0,,2.0,214.0,,,,1,9,0,1.0,1
1946-049,1946-049-01,1946-049-01-01,1946-049-01-01-01,2/10/1947,1,330 U.S. 1,67 S. Ct. 504,91 L. Ed. 711,1947 U.S. LEXIS 2959,1946,1301,Vinson,52,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,11/20/1946,,25.0,35.0,21.0,35.0,2.0,,,0.0,302.0,35.0,300.0,35.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30170.0,3.0,1.0,0.0,2.0,,2.0,230.0,,78.0,87.0,1,5,4,0.0,0
