Model,Strategy,Accuracy,ROC_AUC
rf_unbalanced,Unbalanced,0.6686,0.6867
rf_smote,SMOTE,0.6249,0.6744
logreg_unbalanced,Unbalanced,0.6619,0.6734
logreg_smote,SMOTE,0.5717,0.6709
logreg_weighted,Class Weights,0.5698,0.6707
rf_weighted,Class Weights,0.66,0.6654
lgbm_unbalanced,Unbalanced,0.6771,0.6625
lgbm_smote,SMOTE,0.6182,0.6541
lgbm_weighted,Class Weights,0.5708,0.6268
baseline_unbalanced,Unbalanced,0.6515,0.5
