Decade,N_cases,Split,Accuracy,Weighted_F1
1946–1955,993,Train,0.6022155085599195,0.5147185465324038
1956–1965,1132,Train,0.7102473498233216,0.6322912837640068
1966–1975,1260,Train,0.7063492063492064,0.6176516354339042
1976–1985,1388,Train,0.6837175792507204,0.5886229761576143
1986–1995,1075,Train,0.6269767441860465,0.5306712749021921
1996–2005,704,Train,0.6747159090909091,0.5916474667170419
2006–2015,633,Test,0.6666666666666666,0.6053439016644648
2016–2024,420,Test,0.6714285714285714,0.603166617342409
